"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"42",4,3,5,1,3,3,4,1,3,4,4,1,5,3,4,4,3,1,3,3,3,5,1,4,3,4,2,4,2,4,4,4,4,3,2,4,2,5,3,4,3,5,2,2
"43",2,4,4,2,2,4,5,4,3,3,3,1,4,4,1,2,4,2,4,3,3,5,4,2,1,1,1,3,3,3,4,5,4,2,4,4,2,4,3,2,2,4,4,1
"44",4,2,5,2,5,3,5,3,4,5,5,1,5,3,5,5,3,1,1,5,3,5,1,5,5,5,1,5,4,5,4,5,5,5,3,5,2,5,4,5,2,5,2,5
"45",4,2,3,1,4,3,5,4,4,4,5,2,4,3,3,4,5,5,2,2,3,5,2,5,3,4,1,4,3,3,4,5,4,4,2,3,2,3,3,2,4,4,4,3
"46",5,5,4,1,3,4,5,2,3,3,4,2,5,3,2,4,4,1,3,3,1,5,1,3,3,4,1,4,3,2,1,5,4,4,4,5,2,5,3,3,1,5,5,1
"47",4,3,3,2,5,2,2,2,4,5,5,2,4,2,4,4,4,2,2,5,2,4,1,5,5,5,1,4,2,5,4,4,4,4,2,4,2,4,1,4,1,4,2,5
"48",5,3,4,3,4,3,4,2,2,3,4,3,4,2,2,4,2,3,4,4,1,4,4,2,3,4,4,3,4,4,2,2,4,2,2,5,2,2,4,3,4,4,3,3
"49",3,2,3,1,3,3,4,3,4,5,4,1,5,3,2,4,5,3,2,5,4,5,3,4,2,3,1,3,4,4,4,4,3,3,4,3,2,4,4,3,4,5,5,2
"50",4,4,4,3,3,2,4,3,4,5,5,2,4,4,2,4,4,3,4,4,2,4,2,2,2,4,1,3,4,3,4,4,4,3,4,4,1,4,5,3,4,5,3,1
"51",2,4,5,3,2,4,3,2,2,2,2,3,4,2,2,2,4,1,4,2,4,2,1,2,2,2,1,5,3,3,4,3,1,3,3,4,3,4,4,2,3,4,3,3
"52",4,3,5,2,3,3,3,2,3,3,3,2,5,3,3,2,2,1,2,3,2,2,1,3,2,3,4,5,4,3,2,3,5,3,5,4,4,4,3,3,2,2,1,4
"53",2,3,4,3,5,3,4,4,2,5,4,3,4,5,5,4,4,3,4,5,3,4,3,3,5,4,3,4,4,5,5,5,5,3,3,3,4,3,4,4,3,3,4,5
"54",4,2,4,2,3,3,2,4,3,2,3,2,4,4,2,4,4,4,2,3,3,4,3,4,3,4,2,1,3,2,4,4,4,3,2,4,4,3,2,3,3,4,4,1
"55",5,3,4,1,2,3,4,3,4,3,5,3,5,2,2,4,5,3,2,2,1,4,3,4,3,4,2,3,2,3,2,4,4,4,5,5,3,4,2,2,4,4,3,1
"56",4,3,4,2,3,2,4,2,4,4,4,3,5,4,4,4,4,3,4,4,2,4,2,3,4,4,2,4,4,3,2,4,4,3,2,5,3,4,2,4,2,4,4,3
"57",4,1,5,1,2,4,5,1,4,2,5,1,5,4,4,4,5,1,4,2,4,5,2,4,2,2,1,5,4,2,2,5,5,4,4,5,2,5,4,1,5,5,2,1
"58",5,3,3,5,5,1,3,5,1,5,3,3,4,4,4,5,2,5,5,5,1,2,5,2,4,4,2,1,5,5,1,3,2,3,5,5,5,2,2,3,1,2,5,5
"59",3,2,4,1,3,4,3,2,3,2,4,3,2,4,3,2,4,3,2,4,3,4,3,2,3,4,5,5,5,3,3,2,4,3,4,2,3,4,2,3,4,2,3,4
"60",4,4,4,2,3,3,4,3,3,4,3,2,4,3,2,3,4,3,4,2,3,4,4,3,2,2,2,3,3,2,3,3,4,3,4,3,3,3,4,4,4,4,4,2
"61",4,2,5,1,4,3,5,3,4,5,5,1,5,4,5,5,5,3,2,4,2,5,1,4,3,4,1,4,2,4,4,5,5,4,3,5,1,4,2,2,4,5,2,5
"62",3,2,4,2,3,3,4,3,4,4,4,2,4,2,3,3,4,2,2,3,4,5,2,4,3,3,2,3,2,3,3,4,4,4,3,3,2,4,2,3,3,4,3,3
"63",4,4,5,4,3,3,4,3,4,3,4,3,5,3,2,3,4,3,3,2,5,5,4,4,2,4,2,2,4,3,5,4,4,3,3,4,4,4,4,2,3,4,3,2
"64",5,4,4,4,3,4,5,2,2,4,3,2,4,4,3,3,4,2,5,4,3,5,2,2,3,4,3,4,5,3,2,5,3,3,3,4,2,4,2,5,2,4,3,3
"65",4,4,4,2,3,3,4,3,4,4,4,3,4,3,3,3,4,4,2,2,3,3,4,3,3,4,3,4,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3
"66",4,2,4,2,3,3,5,3,3,3,3,2,5,3,3,3,4,2,4,2,3,5,2,4,3,3,1,3,2,2,3,4,3,3,3,4,2,4,2,3,4,4,3,1
"67",2,2,4,2,3,2,4,3,4,4,4,2,4,3,3,4,4,3,3,4,3,4,1,5,3,3,2,5,3,4,4,5,4,4,3,4,1,3,3,4,3,4,4,3
"68",4,4,3,1,4,5,4,4,5,4,3,1,4,1,5,3,4,4,2,3,3,5,4,4,3,3,3,4,2,3,3,5,5,5,4,5,3,4,2,3,3,4,2,3
"69",5,2,5,1,5,2,5,3,5,5,5,1,4,2,4,5,5,2,2,5,1,5,1,5,5,5,1,4,1,2,1,4,5,5,5,5,2,5,2,5,2,5,3,2
"70",3,3,4,1,3,3,4,4,5,3,3,2,5,3,3,2,4,2,1,3,4,5,4,5,2,3,1,3,2,2,4,4,4,3,5,4,2,4,3,2,3,4,3,1
"71",4,4,5,2,3,1,2,4,3,3,3,2,4,4,3,3,4,2,4,2,2,4,3,2,3,3,1,4,4,1,1,4,4,3,4,4,4,4,4,3,4,4,4,1
"72",3,4,3,2,3,4,3,3,4,5,3,2,3,3,2,2,3,4,3,5,4,2,4,3,2,2,3,3,4,5,4,3,3,2,2,2,2,2,3,4,3,3,4,3
"73",4,4,5,1,2,4,2,4,2,4,4,4,5,4,3,4,2,1,2,3,3,4,1,4,2,3,2,4,4,3,4,2,4,2,4,4,4,5,4,3,4,3,4,2
"74",4,5,4,5,3,4,4,4,1,5,2,4,4,5,4,3,5,2,5,5,4,4,2,1,2,2,3,5,5,5,4,5,4,2,4,2,3,4,5,4,1,4,4,4
"75",4,3,3,2,2,3,3,5,3,4,4,2,3,4,2,3,4,5,5,4,4,2,4,4,3,3,2,2,4,5,4,4,4,4,2,4,4,2,3,4,1,4,5,5
"76",4,2,2,1,4,3,4,3,2,4,4,2,4,3,2,4,4,3,4,2,3,5,3,3,2,3,1,3,4,3,4,5,3,4,2,5,2,3,4,4,3,4,5,3
"77",5,3,4,1,5,3,5,2,4,5,4,1,5,4,4,4,5,4,2,5,4,2,3,4,5,3,1,5,2,5,4,5,3,4,3,4,1,4,4,5,1,4,4,4
"78",4,2,2,4,3,3,4,5,2,4,5,1,5,4,2,4,5,5,5,4,4,5,4,2,3,4,2,1,5,4,4,5,3,3,5,5,1,4,4,3,4,4,4,3
"79",5,2,4,1,3,2,5,3,4,4,5,1,5,2,1,5,5,2,1,4,2,5,4,5,3,4,1,4,2,5,3,5,4,4,5,5,1,4,3,3,3,5,3,3
"80",4,1,5,1,3,3,4,1,5,5,5,1,5,1,4,5,4,1,1,4,3,4,3,4,2,4,1,4,1,5,4,5,5,4,4,5,1,5,4,3,1,4,1,5
"81",4,2,5,2,3,3,5,3,3,5,4,1,5,5,3,3,5,2,3,5,3,5,3,3,3,3,2,4,4,4,4,5,4,4,3,4,2,4,3,5,3,4,3,5
"82",5,4,5,1,4,2,5,4,3,5,4,4,5,4,5,4,2,1,2,5,1,4,3,4,4,4,4,4,4,3,2,2,4,4,2,5,4,4,2,3,4,4,4,1
"83",5,4,5,4,5,3,3,4,2,4,5,1,5,5,4,5,5,1,5,4,3,5,2,3,4,3,3,5,4,4,3,5,5,2,2,4,4,5,5,4,1,5,4,5
"84",1,4,5,1,4,4,4,4,4,5,3,1,5,4,4,2,4,3,4,4,5,5,4,4,4,2,1,3,1,5,5,5,4,2,1,1,1,4,4,4,1,4,4,4
"85",5,4,5,2,5,1,2,1,3,5,4,1,5,2,4,5,4,1,2,4,4,2,2,3,4,5,2,4,1,5,1,4,4,3,5,4,3,2,1,2,1,3,2,3
"86",2,2,4,2,4,4,4,2,3,3,3,3,4,4,3,3,4,1,3,4,5,3,1,2,4,2,2,4,3,3,4,4,4,3,2,2,1,4,4,3,4,4,3,2
"87",1,4,4,1,1,5,4,3,4,5,4,1,5,3,1,2,4,1,4,1,5,4,2,3,1,1,4,4,3,5,5,4,5,4,5,1,2,5,2,1,2,5,4,5
"88",4,4,3,2,5,2,4,3,3,5,4,2,4,4,3,4,4,2,3,5,3,4,4,3,4,4,3,3,4,5,3,4,3,4,4,5,4,2,4,4,1,2,5,5
"89",4,2,4,3,4,3,5,3,4,4,4,2,5,4,5,4,5,3,3,4,4,5,3,4,4,3,2,4,3,4,4,5,4,4,3,4,1,3,2,4,3,4,5,3
"90",1,4,4,2,4,4,5,3,4,3,2,4,2,4,2,4,4,4,1,3,4,4,3,5,4,2,4,5,2,3,4,5,3,3,2,2,3,3,2,4,2,4,3,4
"91",4,2,5,2,2,3,3,3,2,4,3,2,5,3,4,3,4,4,4,2,2,5,3,2,3,4,4,3,4,2,3,4,4,3,4,4,4,3,3,3,3,4,4,2
"92",5,4,5,1,4,3,4,2,5,5,5,2,5,2,5,5,5,2,4,4,1,5,5,4,2,5,2,2,4,4,1,4,5,5,5,5,3,3,4,5,4,5,5,1
"93",2,3,5,2,4,3,4,2,4,3,4,2,4,3,4,3,4,1,2,3,3,4,2,4,4,4,2,4,2,3,2,3,4,4,4,4,2,4,2,4,3,3,2,2
"94",2,2,4,3,2,2,4,2,3,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,2,2,2,4,4,4,5,4,4,4,2,2,3,2,2,1,4,4,4
"95",4,1,5,1,4,1,5,1,3,5,4,1,5,4,4,4,5,1,4,5,1,5,1,4,3,4,1,4,4,3,3,5,5,4,5,4,1,4,5,4,4,5,3,1
"96",4,3,4,1,4,1,4,4,2,4,4,3,4,5,3,4,3,2,4,4,1,5,2,3,3,4,1,3,3,1,1,5,4,2,3,5,1,4,4,4,4,5,4,1
"97",3,2,4,2,4,2,4,2,3,4,4,2,5,2,4,4,2,2,3,4,2,2,2,4,4,4,2,4,3,5,2,5,5,2,5,4,3,4,2,4,1,4,4,4
"98",5,4,4,4,5,4,4,4,4,4,3,1,4,2,5,3,5,1,2,5,2,4,4,5,5,4,1,5,3,5,4,4,4,4,3,4,1,2,1,5,1,4,2,5
"99",5,2,3,1,5,1,5,5,3,4,5,2,4,2,2,5,5,3,2,4,1,5,3,5,4,4,1,2,1,3,2,5,5,5,3,5,1,5,2,3,3,5,2,2
"100",5,2,4,1,5,2,4,2,4,5,5,2,5,4,4,5,5,4,2,4,1,4,4,4,4,4,1,4,4,4,2,4,4,4,2,5,3,4,1,4,2,5,5,4
"101",5,4,4,2,4,4,4,3,3,4,4,3,5,3,4,4,4,3,3,4,2,5,3,3,4,4,4,4,4,4,2,3,3,3,3,5,4,4,3,3,3,4,3,3
"102",4,1,5,1,3,3,4,4,2,5,4,2,4,4,1,4,5,4,4,2,2,4,4,4,4,3,1,5,5,4,2,5,5,2,4,5,2,2,4,4,4,5,5,4
"103",5,4,4,2,3,3,3,4,2,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,5,3,4,4,4,2,2,4,4,2,3,3,4,2,3,5,4
"104",4,2,4,2,4,3,4,2,2,4,4,2,4,3,3,4,4,2,3,4,2,4,2,3,3,4,2,3,3,4,3,4,4,4,4,5,3,4,3,4,2,4,2,3
