,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_simple
3281,2023-02-01 00:00:00-06:00,54555.91015625,55072.23046875,54410.37109375,55018.91015625,148364300,0.0,0.0,2023-02-01
3282,2023-02-02 00:00:00-06:00,55040.19140625,55173.578125,53733.69921875,53874.91015625,160007000,0.0,0.0,2023-02-02
3283,2023-02-03 00:00:00-06:00,53833.73046875,54186.1015625,53737.609375,54049.05078125,183416400,0.0,0.0,2023-02-03
3284,2023-02-07 00:00:00-06:00,54001.55859375,54079.48828125,53238.140625,53335.51171875,195440800,0.0,0.0,2023-02-07
3285,2023-02-08 00:00:00-06:00,53276.7890625,53566.6484375,52578.03125,53125.01171875,165032900,0.0,0.0,2023-02-08
3286,2023-02-09 00:00:00-06:00,53229.6015625,53460.8984375,52684.640625,52801.4296875,134110600,0.0,0.0,2023-02-09
3287,2023-02-10 00:00:00-06:00,52850.48828125,52880.671875,52141.140625,52482.01953125,156046900,0.0,0.0,2023-02-10
3288,2023-02-13 00:00:00-06:00,52476.2890625,53286.83984375,52473.6796875,53050.828125,145585400,0.0,0.0,2023-02-13
3289,2023-02-14 00:00:00-06:00,53225.19921875,53395.80078125,52466.078125,52663.12109375,226066600,0.0,0.0,2023-02-14
3290,2023-02-15 00:00:00-06:00,52577.8984375,53486.51171875,52463.890625,53422.23828125,202987100,0.0,0.0,2023-02-15
3291,2023-02-16 00:00:00-06:00,53536.62890625,54143.609375,53327.0390625,54015.8203125,159906900,0.0,0.0,2023-02-16
3292,2023-02-17 00:00:00-06:00,53927.03125,53993.51171875,53483.73828125,53789.640625,151560000,0.0,0.0,2023-02-17
3293,2023-02-20 00:00:00-06:00,53832.19140625,54006.76953125,53823.33984375,53908.55078125,22508100,0.0,0.0,2023-02-20
3294,2023-02-21 00:00:00-06:00,53882.390625,54087.19140625,52960.3203125,53239.94921875,175824900,0.0,0.0,2023-02-21
3295,2023-02-22 00:00:00-06:00,53266.9296875,53448.44140625,52820.5,53180.98828125,187947000,0.0,0.0,2023-02-22
3296,2023-02-23 00:00:00-06:00,53274.140625,53345.58984375,52789.078125,53085.7109375,184956000,0.0,0.0,2023-02-23
3297,2023-02-24 00:00:00-06:00,53055.6796875,53055.6796875,52420.640625,52686.23828125,141885800,0.0,0.0,2023-02-24
3298,2023-02-27 00:00:00-06:00,52739.421875,53195.55859375,52599.359375,53013.62109375,129313000,0.0,0.0,2023-02-27
3299,2023-02-28 00:00:00-06:00,52964.671875,53048.08984375,52495.859375,52758.05859375,557285900,0.0,0.0,2023-02-28
3300,2023-03-01 00:00:00-06:00,52720.3984375,53717.140625,52658.55859375,53473.4609375,160010700,0.0,0.0,2023-03-01
3301,2023-03-02 00:00:00-06:00,53503.58984375,53583.4296875,53014.73828125,53329.53125,168720500,0.0,0.0,2023-03-02
3302,2023-03-03 00:00:00-06:00,53381.21875,54409.37109375,53347.6015625,54182.26953125,179820700,0.0,0.0,2023-03-03
3303,2023-03-06 00:00:00-06:00,54146.1015625,54326.109375,53889.69140625,53924.19140625,133175400,0.0,0.0,2023-03-06
3304,2023-03-07 00:00:00-06:00,53892.01953125,53902.62109375,53006.44140625,53068.73046875,191127900,0.0,0.0,2023-03-07
3305,2023-03-08 00:00:00-06:00,53099.640625,53440.5,53067.3984375,53388.66015625,128080500,0.0,0.0,2023-03-08
3306,2023-03-09 00:00:00-06:00,53390.05078125,53740.890625,53287.5,53426.76953125,185544000,0.0,0.0,2023-03-09
3307,2023-03-10 00:00:00-06:00,53478.1796875,53507.140625,52716.9609375,52794.53125,159728500,0.0,0.0,2023-03-10
3308,2023-03-13 00:00:00-06:00,52788.2890625,53615.078125,52227.171875,53012.25,185734500,0.0,0.0,2023-03-13
3309,2023-03-14 00:00:00-06:00,53065.6796875,53486.7109375,52644.23828125,52691.66015625,176792200,0.0,0.0,2023-03-14
3310,2023-03-15 00:00:00-06:00,52547.3203125,52689.3984375,51860.328125,52085.6015625,158520400,0.0,0.0,2023-03-15
3311,2023-03-16 00:00:00-06:00,52156.19140625,52876.44140625,52113.640625,52505.69921875,152652700,0.0,0.0,2023-03-16
3312,2023-03-17 00:00:00-06:00,52505.609375,52656.41015625,51814.6796875,51925.609375,786817800,0.0,0.0,2023-03-17
3313,2023-03-21 00:00:00-06:00,52282.98046875,52786.6796875,52131.37890625,52652.6484375,156817200,0.0,0.0,2023-03-21
3314,2023-03-22 00:00:00-06:00,52670.640625,53019.2109375,52485.37109375,52550.3984375,174005300,0.0,0.0,2023-03-22
3315,2023-03-23 00:00:00-06:00,52589.98046875,53089.109375,52556.1796875,52827.9296875,148945100,0.0,0.0,2023-03-23
3316,2023-03-24 00:00:00-06:00,52691.03125,52938.25,52415.19140625,52771.12109375,144755400,0.0,0.0,2023-03-24
3317,2023-03-27 00:00:00-06:00,52792.75,53080.5390625,52740.78125,52851.421875,154251700,0.0,0.0,2023-03-27
3318,2023-03-28 00:00:00-06:00,52894.390625,53705.37890625,52807.48046875,53209.1015625,168610900,0.0,0.0,2023-03-28
3319,2023-03-29 00:00:00-06:00,53259.37890625,53942.94921875,53202.53125,53882.94921875,179199200,0.0,0.0,2023-03-29
3320,2023-03-30 00:00:00-06:00,53878.23828125,54468.5703125,53874.98046875,54198.94140625,186356800,0.0,0.0,2023-03-30
3321,2023-03-31 00:00:00-06:00,54233.25,54604.0703125,53828.55859375,53904.0,242075000,0.0,0.0,2023-03-31
3322,2023-04-03 00:00:00-06:00,54037.671875,54040.48046875,53611.26953125,53896.3515625,84719200,0.0,0.0,2023-04-03
3323,2023-04-04 00:00:00-06:00,53913.1015625,54532.078125,53810.9296875,54176.01171875,97863900,0.0,0.0,2023-04-04
3324,2023-04-05 00:00:00-06:00,54171.16015625,54230.66015625,53308.0703125,53498.390625,73152200,0.0,0.0,2023-04-05
3325,2023-04-10 00:00:00-06:00,53473.7109375,54310.078125,53446.671875,54246.53125,0,0.0,0.0,2023-04-10
3326,2023-04-11 00:00:00-06:00,53964.23828125,54775.80859375,53964.23828125,54604.62890625,162207200,0.0,0.0,2023-04-11
3327,2023-04-12 00:00:00-06:00,54527.03125,54815.91015625,54072.69140625,54333.12109375,152655400,0.0,0.0,2023-04-12
3328,2023-04-13 00:00:00-06:00,54359.30859375,54908.53125,54336.30859375,54695.78125,220218800,0.0,0.0,2023-04-13
3329,2023-04-14 00:00:00-06:00,54748.53125,54862.5390625,54200.3203125,54460.05859375,170784200,0.0,0.0,2023-04-14
3330,2023-04-17 00:00:00-06:00,54444.6796875,54858.73046875,54406.08984375,54778.9296875,199028600,0.0,0.0,2023-04-17
3331,2023-04-18 00:00:00-06:00,54747.58984375,54924.75,54293.76171875,54385.51953125,153784700,0.0,0.0,2023-04-18
3332,2023-04-19 00:00:00-06:00,54300.9609375,54637.41015625,54155.4609375,54308.08984375,191532900,0.0,0.0,2023-04-19
3333,2023-04-20 00:00:00-06:00,54311.0,54674.48046875,54227.30859375,54293.7109375,138852000,0.0,0.0,2023-04-20
3334,2023-04-21 00:00:00-06:00,54451.7109375,54468.609375,53662.91015625,54175.28125,172005600,0.0,0.0,2023-04-21
3335,2023-04-24 00:00:00-06:00,54203.80078125,54745.578125,54089.328125,54713.69921875,136716300,0.0,0.0,2023-04-24
3336,2023-04-25 00:00:00-06:00,54569.69140625,54734.12890625,54301.75,54371.08984375,134099200,0.0,0.0,2023-04-25
3337,2023-04-26 00:00:00-06:00,54356.359375,54633.96875,53902.05078125,54023.3203125,196553700,0.0,0.0,2023-04-26
3338,2023-04-27 00:00:00-06:00,54079.5390625,54501.26171875,54020.609375,54442.171875,159097300,0.0,0.0,2023-04-27
3339,2023-04-28 00:00:00-06:00,54453.5390625,55178.62109375,54436.51953125,55121.21875,241583200,0.0,0.0,2023-04-28
3340,2023-05-02 00:00:00-06:00,55059.26171875,55229.37890625,54689.359375,55179.4296875,248185000,0.0,0.0,2023-05-02
3341,2023-05-03 00:00:00-06:00,55216.12890625,55323.6484375,54919.7890625,54947.01171875,172724800,0.0,0.0,2023-05-03
3342,2023-05-04 00:00:00-06:00,54971.4296875,55264.6015625,54593.05859375,54667.2109375,158878300,0.0,0.0,2023-05-04
3343,2023-05-05 00:00:00-06:00,54747.83984375,55047.8515625,54699.58984375,54937.390625,206689500,0.0,0.0,2023-05-05
3344,2023-05-08 00:00:00-06:00,54989.640625,55265.3984375,54843.21875,55033.12109375,140876800,0.0,0.0,2023-05-08
3345,2023-05-09 00:00:00-06:00,54959.828125,55497.828125,54899.359375,55452.73046875,170680700,0.0,0.0,2023-05-09
3346,2023-05-10 00:00:00-06:00,55378.41015625,55626.51171875,55303.83984375,55534.6796875,187111800,0.0,0.0,2023-05-10
3347,2023-05-11 00:00:00-06:00,55472.2109375,55518.7890625,54852.2890625,55014.16015625,195598400,0.0,0.0,2023-05-11
3348,2023-05-12 00:00:00-06:00,55009.359375,55290.41015625,54724.1796875,54948.33984375,165219800,0.0,0.0,2023-05-12
3349,2023-05-15 00:00:00-06:00,54993.48046875,55375.921875,54890.62890625,55261.421875,174056800,0.0,0.0,2023-05-15
3350,2023-05-16 00:00:00-06:00,55246.171875,55589.71875,55136.1015625,55180.96875,183963200,0.0,0.0,2023-05-16
3351,2023-05-17 00:00:00-06:00,55309.01953125,55441.671875,55005.05859375,55067.37109375,172672200,0.0,0.0,2023-05-17
3352,2023-05-18 00:00:00-06:00,55107.640625,55290.7109375,54961.921875,55263.109375,175582500,0.0,0.0,2023-05-18
3353,2023-05-19 00:00:00-06:00,55197.55078125,55534.3203125,54244.7890625,54296.05078125,168179000,0.0,0.0,2023-05-19
3354,2023-05-22 00:00:00-06:00,54305.6796875,54746.26171875,53352.359375,53466.3203125,182836400,0.0,0.0,2023-05-22
3355,2023-05-23 00:00:00-06:00,53463.421875,53722.75,52997.3203125,53123.21875,183641600,0.0,0.0,2023-05-23
3356,2023-05-24 00:00:00-06:00,53483.1484375,53609.37890625,53146.140625,53393.3984375,212096500,0.0,0.0,2023-05-24
3357,2023-05-25 00:00:00-06:00,53356.76171875,53883.37890625,53159.359375,53744.6796875,214652400,0.0,0.0,2023-05-25
3358,2023-05-26 00:00:00-06:00,53801.53125,54233.5703125,53288.1484375,54025.44921875,202093800,0.0,0.0,2023-05-26
3359,2023-05-29 00:00:00-06:00,54002.6484375,54347.8515625,53911.5703125,54212.671875,156707500,0.0,0.0,2023-05-29
3360,2023-05-30 00:00:00-06:00,54232.2890625,54232.2890625,53105.30859375,53341.8515625,530814200,0.0,0.0,2023-05-30
3361,2023-05-31 00:00:00-06:00,53268.58984375,53499.69921875,52575.140625,52736.26171875,1385522200,0.0,0.0,2023-05-31
3362,2023-06-01 00:00:00-06:00,52803.578125,53134.859375,52687.4296875,52724.03125,236517300,0.0,0.0,2023-06-01
3363,2023-06-02 00:00:00-06:00,52791.890625,53401.26171875,52777.4296875,53232.7109375,223672700,0.0,0.0,2023-06-02
3364,2023-06-05 00:00:00-06:00,53262.26953125,53649.578125,53238.62890625,53536.05078125,137805700,0.0,0.0,2023-06-05
3365,2023-06-06 00:00:00-06:00,53596.44921875,54486.19140625,53578.23046875,54432.19140625,247761200,0.0,0.0,2023-06-06
3366,2023-06-07 00:00:00-06:00,54487.19921875,54712.08984375,54248.5,54291.44140625,261542000,0.0,0.0,2023-06-07
3367,2023-06-08 00:00:00-06:00,54064.0,54407.890625,53851.73828125,54338.1796875,226338000,0.0,0.0,2023-06-08
3368,2023-06-09 00:00:00-06:00,54331.640625,54796.94140625,54295.53125,54512.140625,211648900,0.0,0.0,2023-06-09
3369,2023-06-12 00:00:00-06:00,54475.19140625,54547.87890625,54187.0703125,54278.12109375,140883900,0.0,0.0,2023-06-12
3370,2023-06-13 00:00:00-06:00,54347.28125,54611.9609375,54149.8984375,54574.75,194688500,0.0,0.0,2023-06-13
3371,2023-06-14 00:00:00-06:00,54629.328125,55182.30859375,54557.171875,55145.4296875,316957900,0.0,0.0,2023-06-14
3372,2023-06-15 00:00:00-06:00,55130.41015625,55407.71875,54977.078125,55344.25,213576400,0.0,0.0,2023-06-15
3373,2023-06-16 00:00:00-06:00,55172.6484375,55337.69140625,54783.25,54842.51171875,642615800,0.0,0.0,2023-06-16
3374,2023-06-19 00:00:00-06:00,54953.8203125,55074.7890625,54887.328125,54931.05859375,29019400,0.0,0.0,2023-06-19
3375,2023-06-20 00:00:00-06:00,54965.8984375,54975.87890625,54286.62890625,54365.6796875,233328700,0.0,0.0,2023-06-20
3376,2023-06-21 00:00:00-06:00,54334.171875,54353.0,53810.8515625,54063.91015625,174711000,0.0,0.0,2023-06-21
3377,2023-06-22 00:00:00-06:00,53998.80859375,54031.83984375,53438.8515625,53563.30859375,143284400,0.0,0.0,2023-06-22
3378,2023-06-23 00:00:00-06:00,53690.05859375,53690.359375,53127.21875,53341.91015625,136728100,0.0,0.0,2023-06-23
3379,2023-06-26 00:00:00-06:00,53354.2890625,53506.078125,53262.75,53335.73828125,160594700,0.0,0.0,2023-06-26
3380,2023-06-27 00:00:00-06:00,53295.62109375,54008.03125,53212.73046875,53926.91015625,206317300,0.0,0.0,2023-06-27
3381,2023-06-28 00:00:00-06:00,53914.171875,53991.3515625,53293.2109375,53460.05859375,186447500,0.0,0.0,2023-06-28
3382,2023-06-29 00:00:00-06:00,53411.7109375,53733.8515625,53370.8984375,53585.21875,157071300,0.0,0.0,2023-06-29
3383,2023-06-30 00:00:00-06:00,53667.96875,53778.98828125,53344.76953125,53526.1015625,222472200,0.0,0.0,2023-06-30
3384,2023-07-03 00:00:00-06:00,53536.94140625,54476.66015625,53483.69140625,54399.1015625,88059600,0.0,0.0,2023-07-03
3385,2023-07-04 00:00:00-06:00,54408.078125,54501.578125,53863.859375,53930.859375,23253000,0.0,0.0,2023-07-04
3386,2023-07-05 00:00:00-06:00,53945.5,54099.859375,53710.390625,54039.66015625,183541100,0.0,0.0,2023-07-05
3387,2023-07-06 00:00:00-06:00,54053.8203125,54053.8203125,53117.58984375,53407.69921875,213520400,0.0,0.0,2023-07-06
3388,2023-07-07 00:00:00-06:00,53409.3203125,54128.640625,53266.69140625,53904.2890625,168034000,0.0,0.0,2023-07-07
3389,2023-07-10 00:00:00-06:00,53991.75,53991.75,53562.23828125,53655.3515625,133520600,0.0,0.0,2023-07-10
3390,2023-07-11 00:00:00-06:00,53636.9609375,54189.51171875,53339.37890625,54138.140625,173358400,0.0,0.0,2023-07-11
3391,2023-07-12 00:00:00-06:00,54168.171875,54222.80078125,53855.41015625,53956.7109375,237858800,0.0,0.0,2023-07-12
3392,2023-07-13 00:00:00-06:00,54036.03125,54605.5,53972.94921875,54244.01171875,190638300,0.0,0.0,2023-07-13
3393,2023-07-14 00:00:00-06:00,54264.91015625,54264.91015625,53704.55078125,53770.80078125,152709100,0.0,0.0,2023-07-14
3394,2023-07-17 00:00:00-06:00,53652.12109375,53934.890625,53409.859375,53623.26953125,98350000,0.0,0.0,2023-07-17
3395,2023-07-18 00:00:00-06:00,53641.75,54183.3515625,53479.44140625,54036.26953125,166021400,0.0,0.0,2023-07-18
3396,2023-07-19 00:00:00-06:00,54060.44140625,54333.01953125,53681.91015625,53740.16015625,206091900,0.0,0.0,2023-07-19
3397,2023-07-20 00:00:00-06:00,53654.671875,53793.30078125,53436.1015625,53561.37109375,127340300,0.0,0.0,2023-07-20
3398,2023-07-21 00:00:00-06:00,53336.23828125,53782.71875,53336.23828125,53702.16015625,138248100,0.0,0.0,2023-07-21
3399,2023-07-24 00:00:00-06:00,53701.4609375,53724.1015625,53329.96875,53518.91015625,247229800,0.0,0.0,2023-07-24
3400,2023-07-25 00:00:00-06:00,53599.23046875,54097.23828125,53570.03125,54013.578125,296826400,0.0,0.0,2023-07-25
3401,2023-07-26 00:00:00-06:00,54077.37109375,54544.1484375,53750.01953125,54502.08984375,217661200,0.0,0.0,2023-07-26
3402,2023-07-27 00:00:00-06:00,54576.890625,54895.25,54324.71875,54753.390625,269781500,0.0,0.0,2023-07-27
3403,2023-07-28 00:00:00-06:00,54707.078125,55169.48828125,54593.16015625,54945.26953125,200942200,0.0,0.0,2023-07-28
3404,2023-07-31 00:00:00-06:00,54998.421875,55244.8203125,54717.55078125,54819.05078125,202298400,0.0,0.0,2023-07-31
3405,2023-08-01 00:00:00-06:00,54791.48046875,54901.8984375,54154.7890625,54210.62109375,185015800,0.0,0.0,2023-08-01
3406,2023-08-02 00:00:00-06:00,54185.828125,54185.828125,53206.26953125,53283.55859375,223695000,0.0,0.0,2023-08-02
3407,2023-08-03 00:00:00-06:00,53245.8203125,53543.390625,53019.21875,53445.08984375,231549400,0.0,0.0,2023-08-03
3408,2023-08-04 00:00:00-06:00,53492.30859375,54056.80859375,53397.171875,53991.421875,178687600,0.0,0.0,2023-08-04
3409,2023-08-07 00:00:00-06:00,54014.73828125,54151.28125,53761.7109375,54032.828125,202503600,0.0,0.0,2023-08-07
3410,2023-08-08 00:00:00-06:00,53914.19140625,54063.140625,53341.71875,53663.01953125,219128700,0.0,0.0,2023-08-08
3411,2023-08-09 00:00:00-06:00,53685.5390625,54251.76171875,53633.73828125,54220.73828125,271649000,0.0,0.0,2023-08-09
3412,2023-08-10 00:00:00-06:00,54212.7890625,54435.4296875,53709.078125,53889.03125,179073400,0.0,0.0,2023-08-10
3413,2023-08-11 00:00:00-06:00,53888.62109375,53938.08984375,53171.01953125,53242.16015625,293772900,0.0,0.0,2023-08-11
3414,2023-08-14 00:00:00-06:00,53244.421875,53474.69921875,52818.87890625,53291.44140625,231353200,0.0,0.0,2023-08-14
3415,2023-08-15 00:00:00-06:00,53222.1484375,53732.41015625,53116.6015625,53585.0703125,236881000,0.0,0.0,2023-08-15
3416,2023-08-16 00:00:00-06:00,53520.421875,53953.3515625,53488.8515625,53827.7109375,334271000,0.0,0.0,2023-08-16
3417,2023-08-17 00:00:00-06:00,53891.71875,53968.9609375,53173.109375,53201.44140625,290456200,0.0,0.0,2023-08-17
3418,2023-08-18 00:00:00-06:00,53134.69140625,53291.80859375,52610.140625,53194.390625,160170800,0.0,0.0,2023-08-18
3419,2023-08-21 00:00:00-06:00,53286.2109375,53302.69140625,52681.109375,53109.76171875,186731100,0.0,0.0,2023-08-21
3420,2023-08-22 00:00:00-06:00,53163.62109375,53205.41015625,52935.421875,53127.9296875,208217800,0.0,0.0,2023-08-22
3421,2023-08-23 00:00:00-06:00,53136.6015625,53784.2890625,53099.3515625,53635.33984375,217799800,0.0,0.0,2023-08-23
3422,2023-08-24 00:00:00-06:00,53617.671875,53700.37890625,52881.71875,53109.828125,218952200,0.0,0.0,2023-08-24
3423,2023-08-25 00:00:00-06:00,52995.6484375,53472.76953125,52881.6796875,53191.53125,185115900,0.0,0.0,2023-08-25
3424,2023-08-28 00:00:00-06:00,53193.8515625,53773.5,53193.8515625,53442.640625,169203400,0.0,0.0,2023-08-28
3425,2023-08-29 00:00:00-06:00,53472.62890625,54324.80078125,53342.19921875,54261.328125,217468200,0.0,0.0,2023-08-29
3426,2023-08-30 00:00:00-06:00,54262.8203125,54604.19140625,54158.9296875,54390.73828125,310295900,0.0,0.0,2023-08-30
3427,2023-08-31 00:00:00-06:00,54375.83984375,54375.83984375,52875.80078125,53020.98046875,2341620200,0.0,0.0,2023-08-31
3428,2023-09-01 00:00:00-06:00,53233.1484375,53661.62109375,53011.171875,53145.359375,129619300,0.0,0.0,2023-09-01
3429,2023-09-04 00:00:00-06:00,53161.609375,53317.3984375,52984.1796875,53030.51953125,48500000,0.0,0.0,2023-09-04
3430,2023-09-05 00:00:00-06:00,53057.609375,53227.80859375,52816.9296875,52932.5,212425500,0.0,0.0,2023-09-05
3431,2023-09-06 00:00:00-06:00,52930.2109375,53112.3515625,52710.3203125,52971.19140625,220562100,0.0,0.0,2023-09-06
3432,2023-09-07 00:00:00-06:00,53100.46875,53100.46875,52454.44921875,52482.96875,169522600,0.0,0.0,2023-09-07
3433,2023-09-08 00:00:00-06:00,52442.41015625,52604.76171875,52211.01953125,52505.109375,204695700,0.0,0.0,2023-09-08
3434,2023-09-11 00:00:00-06:00,52549.578125,52748.51171875,52236.25,52267.48828125,166610600,0.0,0.0,2023-09-11
3435,2023-09-12 00:00:00-06:00,52227.05859375,52310.12890625,51814.23828125,51860.44921875,220832600,0.0,0.0,2023-09-12
3436,2023-09-13 00:00:00-06:00,51832.62890625,51867.30078125,51349.55859375,51522.1796875,267093600,0.0,0.0,2023-09-13
3437,2023-09-14 00:00:00-06:00,51519.91015625,51873.23828125,51519.37890625,51755.6796875,205584200,0.0,0.0,2023-09-14
3438,2023-09-15 00:00:00-06:00,51737.62109375,51737.62109375,51108.08984375,51351.6015625,998189100,0.0,0.0,2023-09-15
3439,2023-09-18 00:00:00-06:00,51452.58984375,51729.7109375,50961.140625,51685.30859375,150526800,0.0,0.0,2023-09-18
3440,2023-09-19 00:00:00-06:00,51692.23828125,52327.87890625,51507.8515625,52219.76171875,210624500,0.0,0.0,2023-09-19
3441,2023-09-20 00:00:00-06:00,52226.76953125,52904.0703125,52123.48828125,52507.23046875,233178000,0.0,0.0,2023-09-20
3442,2023-09-21 00:00:00-06:00,52429.37890625,52429.37890625,51886.19140625,51954.01171875,194911500,0.0,0.0,2023-09-21
3443,2023-09-22 00:00:00-06:00,51946.171875,52036.28125,51637.44921875,51677.48046875,172807800,0.0,0.0,2023-09-22
3444,2023-09-25 00:00:00-06:00,51684.609375,51852.12109375,51329.6484375,51367.4609375,240424600,0.0,0.0,2023-09-25
3445,2023-09-26 00:00:00-06:00,51410.421875,51422.44921875,51068.8984375,51107.80078125,213724500,0.0,0.0,2023-09-26
3446,2023-09-27 00:00:00-06:00,51180.98046875,51577.19921875,51180.75,51427.26953125,237887300,0.0,0.0,2023-09-27
3447,2023-09-28 00:00:00-06:00,51386.23046875,51743.87109375,51360.23828125,51554.94921875,204512600,0.0,0.0,2023-09-28
3448,2023-09-29 00:00:00-06:00,51575.23828125,51658.01171875,50783.0703125,50874.98046875,226957200,0.0,0.0,2023-09-29
3449,2023-10-02 00:00:00-06:00,51001.7890625,51281.33984375,50488.3515625,51260.37109375,152597800,0.0,0.0,2023-10-02
3450,2023-10-03 00:00:00-06:00,51210.62890625,51305.9296875,50256.859375,50366.390625,242148700,0.0,0.0,2023-10-03
3451,2023-10-04 00:00:00-06:00,50407.9296875,50776.96875,50158.37890625,50732.69140625,234531400,0.0,0.0,2023-10-04
3452,2023-10-05 00:00:00-06:00,50444.75,50444.75,48484.91015625,49454.58984375,273435300,0.0,0.0,2023-10-05
3453,2023-10-06 00:00:00-06:00,49472.94921875,49821.55078125,48775.94921875,49666.5,182618600,0.0,0.0,2023-10-06
3454,2023-10-09 00:00:00-06:00,49658.390625,49658.390625,49020.25,49297.1484375,158324400,0.0,0.0,2023-10-09
3455,2023-10-10 00:00:00-06:00,49301.6484375,50427.12109375,49301.6484375,50289.859375,200850400,0.0,0.0,2023-10-10
